system_time,count,delta_v_x,delta_v_y, delta_v_z, delta_th_x, delta_th_y, delta_th_z
2023-01-30 17:45:07.939824,1471,0.0004079,0.0005335,-0.0784186,0.0001212,-0.0000606,-0.0000606
2023-01-30 17:45:07.947941,1479,0.0004393,0.0005021,-0.0784500,0.0001818,-0.0000606,0.0000000
2023-01-30 17:45:07.955964,1487,0.0004079,0.0004393,-0.0784814,0.0000606,-0.0000606,0.0000000
2023-01-30 17:45:07.963876,1495,0.0004393,0.0004079,-0.0783872,0.0001212,0.0000606,0.0000000
2023-01-30 17:45:07.971799,1503,0.0003452,0.0004393,-0.0784186,0.0001212,0.0000000,-0.0001212
2023-01-30 17:45:07.979862,1511,0.0004707,0.0004079,-0.0784186,0.0000606,0.0001212,-0.0000606
2023-01-30 17:45:07.987974,1519,0.0005335,0.0003138,-0.0783872,0.0001212,0.0001818,0.0001212
2023-01-30 17:45:07.996209,1527,0.0005335,0.0004079,-0.0785128,0.0001212,0.0000606,0.0000000
2023-01-30 17:45:08.004187,1535,0.0005962,0.0005021,-0.0785128,0.0000606,0.0000000,-0.0000606
2023-01-30 17:45:08.012395,1543,0.0005648,0.0005335,-0.0784814,0.0000606,-0.0000606,-0.0000606
2023-01-30 17:45:08.020288,1551,0.0005335,0.0006276,-0.0784814,0.0000606,-0.0001212,-0.0000606
2023-01-30 17:45:08.028517,1559,0.0005648,0.0005648,-0.0784186,0.0001212,-0.0001212,0.0000606
2023-01-30 17:45:08.036293,1567,0.0005648,0.0005021,-0.0785128,0.0000606,-0.0001212,-0.0000606
2023-01-30 17:45:08.043990,1575,0.0004707,0.0003452,-0.0783559,0.0001212,-0.0001818,0.0001212
2023-01-30 17:45:08.051906,1583,0.0004707,0.0003452,-0.0785441,0.0001212,-0.0001212,0.0000606
2023-01-30 17:45:08.059829,1591,0.0003766,0.0002824,-0.0784814,0.0001212,-0.0001818,0.0001212
2023-01-30 17:45:08.067883,1599,0.0004079,0.0003766,-0.0784500,0.0001212,-0.0001212,0.0000000
2023-01-30 17:45:08.075835,1607,0.0003138,0.0004393,-0.0783872,0.0000606,-0.0001818,-0.0000606
2023-01-30 17:45:08.083925,1615,0.0003452,0.0004393,-0.0784186,0.0001212,-0.0000606,0.0000606
2023-01-30 17:45:08.091888,1623,0.0004707,0.0004393,-0.0784500,0.0000606,0.0000000,0.0000000
2023-01-30 17:45:08.099823,1631,0.0004707,0.0004707,-0.0784814,0.0000606,0.0000000,-0.0000606
2023-01-30 17:45:08.107800,1639,0.0004079,0.0004707,-0.0784814,0.0000606,0.0000606,0.0000000
2023-01-30 17:45:08.115821,1647,0.0004079,0.0004393,-0.0784186,0.0001212,0.0000000,0.0001212
2023-01-30 17:45:08.123780,1655,0.0004393,0.0004393,-0.0784500,0.0001212,0.0000000,0.0000000
2023-01-30 17:45:08.131826,1663,0.0005021,0.0004393,-0.0783245,0.0001818,0.0000606,0.0000000
2023-01-30 17:45:08.139829,1671,0.0004707,0.0004079,-0.0784500,0.0001212,0.0000606,0.0000606
2023-01-30 17:45:08.147826,1679,0.0005021,0.0003452,-0.0784186,0.0000606,0.0000000,-0.0000606
2023-01-30 17:45:08.155801,1687,0.0005335,0.0003452,-0.0784814,0.0001818,0.0000606,0.0000606
2023-01-30 17:45:08.163881,1695,0.0005335,0.0004079,-0.0785441,0.0000000,0.0001212,-0.0001212
2023-01-30 17:45:08.171816,1703,0.0005335,0.0004393,-0.0785755,0.0001212,0.0000000,0.0000000
2023-01-30 17:45:08.179716,1711,0.0005962,0.0005648,-0.0784814,0.0000000,-0.0001212,0.0000000
2023-01-30 17:45:08.187761,1719,0.0005335,0.0005335,-0.0784500,0.0000000,-0.0000606,0.0000606
2023-01-30 17:45:08.195956,1727,0.0005021,0.0005021,-0.0784186,0.0001818,-0.0001212,0.0000000
2023-01-30 17:45:08.204025,1735,0.0005335,0.0004079,-0.0784814,0.0001212,-0.0001212,-0.0000606
2023-01-30 17:45:08.211933,1743,0.0005021,0.0003766,-0.0784500,0.0001818,-0.0003031,0.0000606
2023-01-30 17:45:08.219885,1751,0.0004393,0.0003452,-0.0785128,0.0000000,-0.0001818,0.0000000
2023-01-30 17:45:08.227787,1759,0.0003452,0.0003766,-0.0784186,0.0000000,-0.0001818,-0.0000606
2023-01-30 17:45:08.235927,1767,0.0004079,0.0003766,-0.0783872,-0.0000606,-0.0000606,0.0000606
2023-01-30 17:45:08.243930,1775,0.0004079,0.0003138,-0.0783245,0.0001818,-0.0001212,-0.0000606
2023-01-30 17:45:08.251929,1783,0.0004079,0.0004079,-0.0783872,0.0001212,0.0000606,0.0000606
2023-01-30 17:45:08.259881,1791,0.0004707,0.0004079,-0.0784186,0.0001212,-0.0000606,0.0000000
2023-01-30 17:45:08.268063,1799,0.0003452,0.0005021,-0.0784814,0.0000000,-0.0000606,0.0000000
2023-01-30 17:45:08.275784,1807,0.0003766,0.0005021,-0.0784814,0.0000606,0.0000606,0.0000606
2023-01-30 17:45:08.283898,1815,0.0004393,0.0005335,-0.0784500,0.0001818,0.0000606,0.0000000
2023-01-30 17:45:08.291771,1823,0.0005648,0.0004393,-0.0785128,0.0001212,0.0002424,0.0000606
2023-01-30 17:45:08.299907,1831,0.0005021,0.0004707,-0.0784814,0.0000606,0.0001818,0.0000606
2023-01-30 17:45:08.307904,1839,0.0005335,0.0004393,-0.0784814,0.0001818,0.0001212,0.0000000
2023-01-30 17:45:08.316183,1847,0.0005335,0.0003766,-0.0784500,0.0001818,-0.0000606,-0.0000606
2023-01-30 17:45:08.323975,1855,0.0005648,0.0004393,-0.0785128,0.0000000,0.0000606,-0.0000606
2023-01-30 17:45:08.331947,1863,0.0005962,0.0004393,-0.0785128,0.0001212,-0.0000606,-0.0000606
2023-01-30 17:45:08.340009,1871,0.0004707,0.0004707,-0.0785128,0.0000606,-0.0000606,0.0000606
2023-01-30 17:45:08.347929,1879,0.0005021,0.0004079,-0.0784814,0.0000000,-0.0001212,0.0000000
2023-01-30 17:45:08.355809,1887,0.0005335,0.0004079,-0.0784186,0.0000000,-0.0001818,0.0000606
2023-01-30 17:45:08.363880,1895,0.0005021,0.0003452,-0.0785441,0.0000606,-0.0002424,0.0000606
2023-01-30 17:45:08.371908,1903,0.0005335,0.0003452,-0.0783872,0.0001212,-0.0003031,0.0000606
2023-01-30 17:45:08.379946,1911,0.0004079,0.0003766,-0.0784186,0.0000000,-0.0001818,0.0000000
2023-01-30 17:45:08.388005,1919,0.0004079,0.0004079,-0.0783559,-0.0000606,-0.0001818,0.0000606
2023-01-30 17:45:08.395918,1927,0.0003766,0.0003766,-0.0784500,-0.0001212,-0.0001212,0.0000000
